MARIA
ANNA
BARBARA
TERESA
KATARZYNA
EWA
ELŻBIETA
MAŁGORZATA
ZOFIA
MAGDALENA
AGNIESZKA
KRYSTYNA
JADWIGA
JANINA
JOANNA
HELENA
STANISŁAWA
MONIKA
MARTA
IRENA
DANUTA
DOROTA
MARIANNA
JOLANTA
WERONIKA
BEATA
JÓZEFA
KAZIMIERA
ALEKSANDRA
URSZULA
KAROLINA
HALINA
WIKTORIA
GRAŻYNA
ALICJA
JULIA
BOŻENA
IWONA
WANDA
AGATA
IZABELA
NATALIA
JUSTYNA
SYLWIA
PAULINA
STEFANIA
ŁUCJA
PATRYCJA
RENATA
KINGA
ANTONINA
WŁADYSŁAWA
EMILIA
WIESŁAWA
DOMINIKA
FRANCISZKA
ANIELA
ZUZANNA
GABRIELA
LUCYNA
GENOWEFA
MARZENA
BRONISŁAWA
EDYTA
BOGUMIŁA
LIDIA
HANNA
CECYLIA
EWELINA
HENRYKA
KLAUDIA
ANETA
SABINA
MARIOLA
CZESŁAWA
REGINA
KAMILA
MIROSŁAWA
ALINA
ROZALIA
MICHALINA
OLIWIA
BOGUSŁAWA
GERTRUDA
DARIA
RÓŻA
LEOKADIA
WIOLETTA
ANGELIKA
MAJA
MARTYNA
ZDZISŁAWA
EUGENIA
BERNADETA
KLARA
OLGA
MIECZYSŁAWA
ANASTAZJA
AMELIA
LUDWIKA
LAURA
ILONA
ANITA
HONORATA
SANDRA
DANIELA
WIOLETA
APOLONIA
WACŁAWA
BRYGIDA
LENA
DAGMARA
CELINA
JULIANNA
MARLENA
ELIZA
NIKOLA
WALERIA
KORNELIA
ELEONORA
JAGODA
KARINA
SARA
MILENA
FAUSTYNA
PELAGIA
MATYLDA
FELICJA
ALDONA
IZABELLA
LUIZA
ROMANA
ROKSANA
MAGDA
ADRIANNA
MARCELINA
ŻANETA
ADELA
MALWINA
FELIKSA
ALFREDA
NINA
AURELIA
DIANA
BOŻENNA
JULITA
LILIANA
PAULA
NADIA
RITA
WALENTYNA
VIOLETTA
KONSTANCJA
ELWIRA
OTYLIA
ADRIANA
BERNADETTA
ZENONA
TEODORA
IGA
ALBINA
ANDŻELIKA
HILDEGARDA
RYSZARDA
JUDYTA
ROMUALDA
SALOMEA
BOLESŁAWA
TEKLA
LILIANNA
BLANKA
JÓZEFINA
ESTERA
MARZANNA
ZENOBIA
BERNARDA
LUDMIŁA
TEODOZJA
SONIA
TEOFILA
FLORENTYNA
MELANIA
JOWITA
KAJA
VICTORIA
TAMARA
BALBINA
ERYKA
KUNEGUNDA
OLIMPIA
POLA
ADELAJDA
SŁAWOMIRA
ZYTA
LEONARDA
ARLETA
IRMINA
MARIKA
TATIANA
NATASZA
DONATA
EDWARDA
KALINA
LONGINA
GIZELA
MARIE
KLEMENTYNA
INGA
MARCELA
AMANDA
ELFRYDA
LUCJA
MARYLA
PETRONELA
EMMA
BERTA
MARCJANNA
MARZENNA
SEWERYNA
IDA
ELIZABETH
NICOLE
OLIVIA
BOGNA
ADA
